solvent,solute,temperature
CN(C)C=O,CCCCCC1=CC(O)=C(C/C=C(\C)CCC=C(C)C)C(O)=C1OC(C)=O,298
CS(C)=O,CCCCCC1=CC(O)=C(C/C=C(\C)CCC=C(C)C)C(O)=C1OC(C)=O,298
CC(C)=O,CCCCCC1=CC(O)=C(C/C=C(\C)CCC=C(C)C)C(O)=C1OC(C)=O,298
C1CCOC1,CCCCCC1=CC(O)=C(C/C=C(\C)CCC=C(C)C)C(O)=C1OC(C)=O,298
CC#N,CCCCCC1=CC(O)=C(C/C=C(\C)CCC=C(C)C)C(O)=C1OC(C)=O,298
CO,CCCCCC1=CC(O)=C(C/C=C(\C)CCC=C(C)C)C(O)=C1OC(C)=O,298
CCO,CCCCCC1=CC(O)=C(C/C=C(\C)CCC=C(C)C)C(O)=C1OC(C)=O,298
CC(C)O,CCCCCC1=CC(O)=C(C/C=C(\C)CCC=C(C)C)C(O)=C1OC(C)=O,298
O,CCCCCC1=CC(O)=C(C/C=C(\C)CCC=C(C)C)C(O)=C1OC(C)=O,298
CCCCCC,CCCCCC1=CC(O)=C(C/C=C(\C)CCC=C(C)C)C(O)=C1OC(C)=O,298
